Date,2008/07/02,,"Rat #",145,"Reçu le ",2008/06/24,,,
,,,,,"Poids approx","300 g",,,
"Induction à",11H30,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,
"Enregistrement : Halothane 0,8% dans N20/02 (1/1)",,,,,,,,,
,,,,,,,,,
Descentes,,,,,,,,,
,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,
12H30,"4,6 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,"Re = 18 MΩ ; Ri = 30 MΩ",,,,,"Re = ; Ri = MΩ"
,,,,"Cellule A à 9800 µm",,,,,"Cellule à µm"
,,,,"Fréquence spontanée  < 1 Hz",,,,,"Fréquence spontanée =  Hz"
,,,,Réponse,,,,,Réponse
,,,,"Noci mécanique : Neutral (T ; FR)",,,,,"Noci mécanique : "
,,,,"Noci thermique :  Neutral (FL)",,,,,"Noci thermique : "
,,,,"Tactile : ",,,,,"Tactile : "
,,,,"Perdue à l'injection",,,,,"Injection à nA pendant min"
13H50,"4,9 mm",,"1,1 mm",RAS,,,,,
15H00,"5,2 mm",,"1,3 mm",RAS,,,,,
16H30,"5,5 mm",,"1,1 mm",,,,,,
17H45,"5,8 mm",,"1,3 mm",,,,,,
