Date,2008/09/09,,"Rat #",171,"Reçu le ",2008/07/02,,,,,,,,,
,,,,,"Poids approx","300 g",,,,,,,,,
"Induction à",10H45,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,,,,,,,
"Enregistrement : Halothane 0,8% dans N20/02 (1/1)",,,,,,,,,,,,,,,
"Electrode antidromique dans le NTS : Latéralité : 800 µm ; Profondeur : 800 µm",,,,,,,,,,,,,,,
"par rapport au Calamus",,,,,,,,,,,,,,,
Descentes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,,,,,,,
12H00,"4,4 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"* 1,5% neurobiotine ; 5% NaCl",,,,"4,6 mm",,"1,3 mm"
,,,,"Re = 30 MΩ ; Ri = 10 MΩ",,,,,"Re = ; Ri = MΩ",,,,"4,9 mm",,"1,1 mm"
,,,,RAS,,,,,"Cellule à µm",,,,"5,2 mm",,"1,3 mm"
14H15,"4,7 mm",,"1,1 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,Antidromique,,,,"5,5 mm",,"1,1 mm"
,,,,"Re = 15 MΩ ; Ri = 11 MΩ",,,,,"Fréquence spontanée =  Hz",,,,,,
,,,,"Cellule A à 8900 µm",,,,,Réponse,,,,,,
,,,,"Antidrom : elec=2&3;lat=20ms;seuil=300µA",,,,,"Noci mécanique : ",,,,,,
,,,,"Fréquence spontanée = 0 Hz",,,,,"Noci thermique : ",,,,,,
,,,,Réponse,,,,,"Tactile : ",,,,,,
,,,,"Noci mécanique : NEUTRAL (FR)",,,,,"Injection à nA pendant min",,,,,,
,,,,"Noci thermique : NEUTRAL (FL/RR/RL@50°C)",,,,,,,,,,,
,,,,"Tactile : ",,,,,,,,,,,
15H25,"5,0 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,,,,,,,
,,,,"Re = 25 MΩ ; Ri = 20 MΩ",,,,,,,,,,,
,,,,RAS,,,,,,,,,,,
16H10,"5,2 mm",,"1,1 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,,,,,,,
,,,,"Re = 35 MΩ ; Ri = 30 MΩ",,,,,,,,,,,
,,,,"Cellule à 8900 µm",,,,,,,,,,,
,,,,"Antidromique : non",,,,,,,,,,,
