Date,2008/09/15,,"Rat #",173,"Reçu le ",2008/07/02,,,,,,,,,
,,,,,"Poids approx","300 g",,,,,,,,,
"Induction à",10H45,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,,,,,,,
"Enregistrement : Halothane 0,8% dans N20/02 (1/1)",,,,,,,,,,,,,,,
"Electrode antidromique dans le NTS : Latéralité : 800 µm ; Profondeur : 600 µm",,,,,,,,,,,,,,,
"par rapport au Calamus",,,,,,,,,,,,,,,
Descentes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,,,,,,,
12H00,"4,4 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"* 1,5% neurobiotine ; 5% NaCl",,,,"4,6 mm",,"1,3 mm"
,,,,"Re = 25 MΩ ; Ri = 40 MΩ",,,,,"Re = ; Ri = MΩ",,,,"4,9 mm",,"1,1 mm"
,,,,RAS,,,,,"Cellule à µm",,,,"5,2 mm",,"1,3 mm"
14H30,"4,6 mm",,"1,1 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,Antidromique,,,,"5,5 mm",,"1,1 mm"
,,,,"Re = 15 MΩ ; Ri = 10 MΩ",,,,,"Fréquence spontanée =  Hz",,,,,,
,,,,RAS,,,,,Réponse,,,,,,
16H00,"4,8 mm",,"1,3 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,"Noci mécanique : ",,,,,,
,,,,"Re = 17 MΩ ; Ri = 35 MΩ",,,,,"Noci thermique : ",,,,,,
,,,,RAS,,,,,"Tactile : ",,,,,,
16H00,"5,0 mm",,"1,1 mm",RAS,,,,,"Injection à nA pendant min",,,,,,
17H00,"5,2 mm",,"1,3 mm",RAS,,,,,,,,,,,
18H00,"5,2 mm",,"1,3 mm",RAS,,,,,,,,,,,
