Date,2008/10/24,,"Rat #",195,"Reçu le ",2008/09/21,,,,,,,,,,
,,,,,"Poids approx","300 g",,,,,,,,,,
"Induction à",14H00,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,,,,,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,,,,,,,
"Electrode antidromique dans le NTS : Latéralité : 700 µm ; ",,,,,,,,,,,,,,,,
"Profondeur : 500 µm par rapport à l'obex",,,,,,,,,,,,,,,,
Descentes,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,,,,,,,,
15H15,"5,2 mm",,"1 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,,,,,,,,
,,,,"Re = 11 MΩ ; Ri = 18 MΩ",,,,,,,,,,,,
,,,,"RAS : Impédance trop petite",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16H15,"5,0 mm",,"1 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,,,,,,,,
,,,,"Re = 14 MΩ ; Ri = 35 MΩ",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,"Cellule à 8900 µm",,,,,,,,,,,,
,,,,Antidromique:NO,,,,,,,,,,,,
,,,,"Fréquence spontanée = 0 Hz",,,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,,
,,,,"Noci thermique : NO (50:FL/RL)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17H15,"5,4 mm",,"1 mm","Cellule A à 8400 µm",,,,,,,,,,,,
,,,,Antidromique:NO,,,,,,,,,,,,
,,,,"Fréquence spontanée = 0 Hz",,,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,,
,,,,"Noci mécanique : ON (FR) light",,,,,,,,,,,,
,,,,"Noci thermique : ON (50:FL/RL) light",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
18H20,"5,6 mm",,"1 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,,,,,,,,
,,,,"Re = 14 MΩ ; Ri = 15 MΩ",,,,,,"* 1,5% neurobiotine ; 5% NaCl",,,,"4,6 mm",,"1,3 mm"
,,,,,,,,,,"Re = ; Ri = MΩ",,,,"4,9 mm",,"1,1 mm"
,,,,"Cellule B à  8425 µm",,,,,,"Cellule à µm",,,,"5,2 mm",,"1,3 mm"
,,,,Antidromique:NO,,,,,,Antidromique:elec:;lat:ms;seuil:µA,,,,"5,5 mm",,"1,1 mm"
,,,,"Fréquence spontanée = 2-3 Hz",,,,,,Collision,,,,,,
,,,,Réponse,,,,,,"Fréquence spontanée =  Hz",,,,,,
,,,,"Noci mécanique : ON (FR)",,,,,,Réponse,,,,,,
,,,,"Noci thermique : ON (50:FL/RL/RR) Light",,,,,,"Noci mécanique : ",,,,,,
,,,,"Noci thermique : NO (44:RR)",,,,,,"Noci thermique : ",,,,,,
,,,,,,,,,,"Tactile : ",,,,,,
,,,,,,,,,,"Injection à nA pendant min",,,,,,
,,,,,,,,,,"Fin injection à ",,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,"Cellule à µm",,,,,,
,,,,,,,,,,Antidromique:NO,,,,,,
,,,,,,,,,,"Fréquence spontanée =  Hz",,,,,,
,,,,,,,,,,Réponse,,,,,,
,,,,,,,,,,"Noci mécanique : NO (FR/T)",,,,,,
,,,,,,,,,,"Noci thermique : NO (50:FL/RL)",,,,,,
