Date,2009/02/18,,"Rat #",218,"Reçu le ",2009/02/10,,,,
,,,,,"Poids approx","300 g",,,,
"Induction à",10H45,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)",,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,,,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Descentes,,,,,,,,,,"RAS (plancher @ 8700 µm ?)"
,,,,,,,,,,
Heure,"Postérieur (Bregma)",,Latéralité,"Profondeur et commentaire",,,,,," tjs pas plancher @ 11 000 µm"
11H45,"5,0 mm",,"0,9 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,,
,,,,"Re = 11 MΩ ; Ri = 20 MΩ",,,,,,"Perdue @ injection"
,,,,,,,,,,"Perdue AV injection"
,,,,RAS,,,,,,
,,,,,,,,,,RAS
13H30,4.8,,"0,9 mm",RAS,,,,,,
,,,,,,,,,,"Perfusion @ 17H45"
14H05,"4,6 mm",,"0,9 mm","* 1,5% neurobiotine ; 5% NaCl",,,,,,
,,,,"Re = 14 MΩ ; Ri = 35 MΩ",,,,,,"* 1,5% neurobiotine ; 5% NaCl"
,,,,,,,,,,"Re = ; Ri = MΩ"
,,,,"Cellule A à 9930 µm",,,,,,
,,,,"Fréquence spontanée << 1 Hz",,,,,,"* 5% TMR ; 5-10% NaCl"
,,,,Réponse,,,,,,
,,,,"Noci mécanique : Neutral (FR)",,,,,,"Injection à nA pendant min"
,,,,"Noci thermique : Neutral (5O:RL)",,,,,,"Fin injection à "
,,,,"Perdue @ injection",,,,,,
,,,,,,,,,,"Cellule à µm"
14H45,"5,4 mm",,"0,9 mm","Cellule B à 9910 µm",,,,,,"Fréquence spontanée =  Hz"
,,,,"Fréquence spontanée = 18 Hz",,,,,,Réponse
,,,,Réponse,,,,,,"Noci mécanique : "
,,,,"Noci mécanique : OFF (FR)",,,,,,"Noci thermique : "
,,,,"Noci thermique : OFF (5O:FL/RR/RL)",,,,,,"Tactile : "
,,,,"Perdue AV injection",,,,,,
,,,,,,,,,,
17H10,"5,0 mm",,"0,9 mm (D)","* 1,5% neurobiotine ; 5% NaCl",,,,,,
,,,,"Re = 11 MΩ ; Ri = 35 MΩ",,,,,,Antidromique:elec:;lat:ms;seuil:µA
,,,,,,,,,,Collision
,,,,"Cellule C à 9560 µm",,,,,,
,,,,"Fréquence spontanée = 8 Hz",,,,,,
,,,,Réponse,,,,,,
,,,,"Noci mécanique : Neutral (FR)",,,,,,
,,,,"Noci thermique : ON (50:RL/RR/FL) light",,,,,,
,,,,"Noci thermique : ON (52:RR) Neutral (48:RL)",,,,,,
,,,,"Perdue @ injection",,,,,,
,,,,,,,,,,
,,,,"Cellule D à 9840 µm",,,,,,
,,,,"Fréquence spontanée = 0 Hz",,,,,,
,,,,Réponse,,,,,,
,,,,"Noci mécanique : Neutral (FR)",,,,,,
,,,,"Noci thermique : Neutral (52:RR/RL)",,,,,,
,,,,"Perdue @ injection",,,,,,
