Date,2009/05/25,,"Rat #",241,"Reçu le ",2009/05/19,,,,,,,,,,,
,,,,,"Poids approx","300 G",,,,,,,,,,,
"Induction à",14h00,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)"," ",,,,,,,,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,"B3 juxta 91",,,,,,,,,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Descentes,,,,,,,,,,"RAS (plancher @ 8700 µm ?)",,,,,,,
,,,,,,,,,,,,,,,,,
Heure,"Postérieur (Obex)",,Latéralité,"Profondeur et commentaire",,,,,," tjs pas plancher @ 11 000 µm",,,,,,,
14h45,"0.0 mm",,"0.8 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,,,,,,,,
,,,,"Re = 14 MΩ ; Ri = 18 MΩ",,,,,,"Perdue @ injection",,,,,,,
,,,,,,,,,,"Perdue AV injection",,,,,,,
,,,,"Cellule A à 4340 µm",,,,,,,,,,,,,
,,,,"Fréq spont = 10.16 Hz ; ISI = 98 ± 58 ms",,,,,,RAS,,,,,,,
,,,,Réponse,,,,,,,,,,,,,
,,,,"Noci thermique : OFF (50:FL/RL/FR)",,,,,,"Perfusion @ 17H45",,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"Cellule B à 4595 µm",,,,,,"* 1,5% neurobiotine ; 5% NaCl",,,,,,,
,,,,"Fréq spont = 10.39 Hz ; ISI = 96 ± 79 ms",,,,,,"Re = ; Ri = MΩ",,,,,,,
,,,,Réponse,,,,,,,,,,,,,
,,,,"Noci thermique : Neutral (50:FL)",,,,,,"* 5% TMR ; 5-10% NaCl",,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"Cellule C à 4905 µm",,,,,,"Cellule à µm",,,,,,,"Injection à nA pendant min"
,,,,"Bursting cell : ttes les 4 sec burst de 2 sec",,,,,,"Fréq spont =  Hz ; ISI = ± ms",,,,,,,"Fin injection à "
,,,,,,,,,,Réponse,,,,,,,
15H40,"-0.2 mm",,"0.8 mm","Cellule D à 4414 µm",,,,,,"Noci mécanique : ",,,,,,,
,,,,"Fréq spont = 3.64 Hz ; ISI = 274 ± 451 ms",,,,,,"Noci thermique : ",,,,,,,
,,,,Réponse,,,,,,"Tactile : ",,,,,,,
,,,,"Noci mécanique : ON (FL)",,,,,,,,,,,,,
,,,,"Noci thermique : ON ; seuil @ 44°C",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"Cellule E à 4980 µm",,,,,,Antidromique:elec:;lat:ms;seuil:µA,,,,,,,
,,,,"Fréq spont = 3.19 Hz ; ISI = 313 ± 121 ms",,,,,,Collision,,,,,,,
,,,,,,,,,,,,,,,,,
17H10,"0.2 mm",,"0.8 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,,,,,,,,
,,,,"Re = 14 MΩ ; Ri = 18 MΩ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,RAS,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
17H35,"0.4 mm",,"0.8 mm",RAS,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
17H55,"0.0 mm",,"0.4 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,,,,,,,,
,,,,"Re = 9 MΩ ; Ri = 18 MΩ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"Cellule F à µm",,,,,,,,,,,,,
,,,,"Fréq spont = 20.82 Hz ; ISI = 48 ± 266 ms",,,,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,,,
,,,,"Noci thermique : ON (50/52)",,,,,,,,,,,,,
,,,,"Répond au son",,,,,,,,,,,,,
,,,,"Seuil difficile à déterminer",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"Cellule G à 5050 µm",,,,,,,,,,,,,
,,,,"Fréq spont = 1.6 Hz ; ISI = 618 ± 671 ms",,,,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,,,
,,,,"Noci mécanique : Neutral (FL)",,,,,,,,,,,,,
,,,,"Noci thermique : ON (50:FLRL/FR/RR;46/52:FL)",,,,,,,,,,,,,
,,,,"Noci thermique : Neutral (44:FL)",,,,,,,,,,,,,
,,,,"Perdue @ injection",,,,,,,,,,,,,
,,,,"Cellule percée",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"Point Bleu @ 4530 µm",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"Perfusion @ 19H30",,,,,,,,,,,,,
