Date,2009/05/26,,"Rat #",242,"Reçu le ",2009/05/19,,,,,,,,,,,
,,,,,"Poids approx","300 G",,,,,,,,,,,
"Induction à",9H50,"; N2O/02 (2/1) --> Halothane 2%",,,,,,,,,,,,,,,
"Post induction : atropine (0,75 mg/kg ; IP)"," ",,,,,,,,,,,,,,,,
"Perfusion IP (0,8 ml/h) : Gallamine (20 mg/ml)",,,,,"B3 juxta 92",,,,,,,,,,,,
"Enregistrement : Halothane 0,7% dans N20/02 (1/1)",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Descentes,,,,,,,,,,"RAS (plancher @ 8700 µm ?)",,,,,,,
,,,,,,,,,,,,,,,,,
Heure,"Postérieur (Obex)",,Latéralité,"Profondeur et commentaire",,,,,," tjs pas plancher @ 11 000 µm",,,,,,,
10H35,"0.0 mm",,"-0.8 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,,,,,,,,
,,,,"Re = 14 MΩ ; Ri = 18 MΩ",,,,,,"Perdue @ injection",,,,,,,
,,,,,,,,,,"Perdue AV injection",,,,,,,
,,,,"Cellule A à 5200 µm",,,,,,,,,,,,,
,,,,"Fréq spont = 15.77 Hz ; ISI = 63 ± 7 ms",,,,,,RAS,,,,,,,
,,,,,,,,,,,,,,,,,
11H25,"0.0 mm",,"-0.4 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,"Perfusion @ 17H45",,,,,,,
,,,,"Re = 8 MΩ ; Ri = 14-20 MΩ",,,,,,,,,,,,,
,,,,,,,,,,"* 1,5% neurobiotine ; 5% NaCl",,,,,,,
,,,,"Cellule B à 4200 µm",,,,,,"Re = ; Ri = MΩ",,,,,,,
,,,,"Fréq spont = 1.23 Hz ; ISI = 812 ± 558 ms",,,,,,,,,,,,,
,,,,Réponse,,,,,,"* 5% TMR ; 5-10% NaCl",,,,,,,
,,,,"Noci mécanique : OFF (RR)",,,,,,,,,,,,,
,,,,"Noci thermique : OFF (50:FR/RL/FL/RR;48/52/54:RR)",,,,,,"Injection à nA pendant min",,,,,,,"Injection à nA pendant min"
,,,,"Noci thermique : Neutral (46:RR)",,,,,,"Fin injection à ",,,,,,,"Fin injection à "
,,,,"Injection à 5 nA pendant 1 min 30 sec",,,,,,,,,,,,,
,,,,"Fin injection à 12H10",,,,,,"Cellule à µm",,,,,,,
,,,,"Cellule percée ?",,,,,,"Fréq spont =  Hz ; ISI = ± ms",,,,,,,
,,,,,,,,,,Réponse,,,,,,,
,,,,"point bleu @ 5024 µm",,,,,,"Noci mécanique : ",,,,,,,
,,,,,,,,,,"Noci thermique : ",,,,,,,
14H25,"0.0 mm",,"0.8 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,"Tactile : ",,,,,,,
,,,,"Re = 8 MΩ ; Ri = 14-20 MΩ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"Cellule C à 4755 µm",,,,,,,,,,,,,
,,,,"Fréq spont = 5.76 Hz ; ISI = 173 ± 171 ms",,,,,,Antidromique:elec:;lat:ms;seuil:µA,,,,,,,
,,,,Réponse,,,,,,Collision,,,,,,,
,,,,"Noci thermique : ON (50:FR/FL/RR/RL;46:RL light)",,,,,,,,,,,,,
,,,,"Noci thermique : Neutral (44:RL)",,,,,,,,,,,,,
,,,,"Perdue AV injection",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
15H10,"0.0 mm",,"0.4 mm","Cellule D à 4595 µm",,,,,,,,,,,,,
,,,,"Bursting cell",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"Cellule E à 4804 µm",,,,,,,,,,,,,
,,,,"Fréq spont = 17.13 Hz ; ISI = 58 ± 29 ms",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
15H43,"-0.2 mm",,"0.8 mm","* 1,5% neurobiotine ; 2% NaCl",,,,,,,,,,,,,
,,,,"Re = 10 MΩ ; Ri = 14-20 MΩ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"Cellule F à 4361 µm",,,,,,,,,,,,,
,,,,"Fréq spont =  Hz ; ISI =  ±  ms",,,,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,,,
,,,,"Noci thermique : ON (50:FR/FL/RR/RL;48:RL;46:RL light)",,,,,,,,,,,,,
,,,,"Perdue @ injection",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"Cellule G à 4915 µm",,,,,,,,,,,,,
,,,,"Fréq spont = 2.88 Hz ; ISI = 347 ± 127 ms (burst de 2 spikes)",,,,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,,,
,,,,"Noci thermique : ON (50:FR/FL/RR/RL;52:RR;48:RR light)",,,,,,,,,,,,,
,,,,"Noci thermique : Neutral (46:RR)",,,,,,,,,,,,,
,,,,"Noci mécanique : ON (RR)",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"Cellule H à 5008 µm",,,,,,,,,,,,,
,,,,"Fréq spont = 7.53 Hz ; ISI = 133 ± 74 ms",,,,,,,,,,,,,
,,,,Réponse,,,,,,,,,,,,,
,,,,"Noci thermique : ON (50:FR/FL/RR/RL;52:FR)",,,,,,,,,,,,,
,,,,"Noci thermique : Neutral (48:FR)",,,,,,,,,,,,,
,,,,"Noci mécanique : ON (RR)",,,,,,,,,,,,,
,,,,"Injection à 9 nA pendant 2 min 50 sec",,,,,,,,,,,,,
,,,,"Fin injection à 17H00",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,"Perfusion @ 17H23",,,,,,,,,,,,,
